week,adoptions,exposure,season
1,1191,2594.0,0
2,1624,2427.6,0
3,2213,2706.0,0
4,2369,2928.6,0
5,2665,2971.7,0
6,2673,3032.0,0
7,3162,3343.0,0
8,3380,3481.1,0
9,3996,4036.9,0
10,4100,4327.7,0
11,3819,4025.7,0
12,4026,4253.8,0
13,5073,4981.5,0
14,5033,5602.2,0
15,5431,5929.0,0
16,5763,6221.6,0
17,6709,6591.9,0
18,7459,7443.1,0
19,7865,7543.4,0
20,10194,9219.7,0
21,12335,9999.9,0
22,9753,9861.6,0
23,10353,10834.9,0
24,13180,11968.4,0
25,10296,11361.4,0
26,11522,11838.9,0
27,10403,12180.5,0
28,7353,10963.9,0
29,7514,11001.5,0
30,8040,10050.2,1
31,7924,9751.0,1
32,6207,8923.4,1
33,4571,8061.4,1
34,1932,6707.6,0
35,1768,5996.7,0
36,1568,5512.5,0
37,1310,4667.5,0
38,1067,3990.4,0
39,984,3795.3,0
40,1013,3664.0,0
41,791,3090.1,0
42,?,3012.4,0
43,?,2892.0,0
44,?,2768.0,0
45,?,2693.1,0
